month,mau,joiners,leavers,churn_rate,satisfaction,revenue_usd,revenue_per_user_usd,consumer_revenue_usd,payer_revenue_usd,pool_usd,paid_out_usd,payout_per_user_usd,earners,payout_per_earner_usd,payout_per_earner_face_usd,earner_upside_face_usd,stake_bonus_per_winner_usd,total_user_upside_usd,cheat_inflation,fraud_leak_usd,costs_usd,net_usd,treasury_usd,token_price_usd,entry_cost_usd,buyback_usd,sell_pressure_usd,buyback_coverage,unlock_tokens,held_tokens,unlock_sell_usd,invariant_ok
11,184000.43372989367,28571.24614723047,9921.011973361481,0.06,1.0,1430142.3076775928,7.7724942201875065,546940.2257741032,883202.0819034897,803391.3620291455,803391.3620291455,3.905408864126792,55200.1301189681,13.018029547089307,13.018029547089307,19.62914065820042,6.611111111111111,4.698742197460125,0.5900000000000001,84794.43713724427,99785.28521631127,539330.4895787849,3548617.4044271377,0.018039298515481007,0.0,803391.3620291455,810890.1579450637,0.9907523900216998,5555555.555555556,23538813.606383085,80174.66006880449,True
12,203216.133877843,30255.726171742946,11040.02602379362,0.06,1.0,1579519.7363760145,7.772609911600292,604082.2937623683,975437.4426136464,887303.612449372,887303.612449372,3.905460604472404,60964.8401633529,13.018202014908013,13.018202014908013,19.629313126019124,6.611111111111112,4.698793937805737,0.5900000000000001,93651.00739626633,102919.13313576819,602953.1149874654,4151570.5194146032,0.01800749803636167,0.0,887303.612449372,890154.6533720923,0.9967971397869797,5555555.555555556,27825211.942755558,80033.32460605189,True
13,223022.626789729,31999.46094455658,12192.96803267058,0.06,1.0,1733394.9879969812,7.772283077049698,662886.3794062822,1070508.608590699,973748.3548575605,973748.3548575605,3.905314435174284,66906.78803691869,13.01771478391428,13.01771478391428,19.628825895025393,6.6111111111111125,4.698647768507618,0.5900000000000001,102774.87108514493,106164.19842434132,668469.5552353492,4820040.074649952,0.018020901954786953,0.0,973748.3548575605,972431.8964998935,1.0013537794907852,5555555.555555556,32342762.509716783,80092.89757683092,True
14,243446.21170473885,33804.9425223936,13381.35760738374,0.06,1.0,1891966.5866175527,7.771600031764734,723424.7704348065,1168541.8161827463,1062837.474927051,1062837.474927051,3.905008958749882,73033.86351142164,13.016696529166275,13.016696529166275,19.62780764027739,6.6111111111111125,4.698342292083216,0.5900000000000001,112177.83724632545,109525.14182501024,735963.5552920499,5556003.629942002,0.018068692106893464,0.0,1062837.474927051,1057731.8886021865,1.0048269191653205,5555555.555555556,37070521.64826888,80305.29825285985,True
15,264514.19981869776,35674.760816243266,14606.77270228433,0.06,1.0,2055441.8709510146,7.770629600829926,785773.7118212653,1269668.1591297493,1154687.7513884823,1154687.7513884823,3.9045749556484464,79354.25994560933,13.015249852161489,13.015249852161489,19.6263609632726,6.611111111111112,4.69790828898178,0.5900000000000001,121872.23136300605,113006.80732975049,805522.6664605982,6361526.2964026,0.018143102522261156,0.0,1154687.7513884823,1146091.7873943471,1.007500240459517,5555555.555555556,41990704.12307446,80636.01121004959,True
16,286254.9553625285,37611.60753295262,15870.851989121866,0.06,1.0,2224037.1143093463,7.769427472417752,850013.3285692094,1374023.7857401369,1249420.9357286869,1249420.9357286869,3.9040373311349517,85876.48660875855,13.01345777044984,13.01345777044984,19.624568881560954,6.6111111111111125,4.697370664468285,0.5900000000000001,131870.90377100627,116614.22955720423,877238.2820238171,7238764.578426417,0.018238459189667815,0.0,1249420.9357286869,1237569.2856040513,1.0095765548341407,5555555.555555556,47088380.29070925,81059.81862074585,True
17,308697.93831484625,39618.28027406945,17175.29732175171,0.06,1.0,2397977.7085963427,7.768039273882693,916227.6046850808,1481750.103911262,1347163.8646892975,1347163.8646892975,3.9034164910029934,92609.38149445388,13.011388303343312,13.011388303343312,19.622499414454424,6.611111111111112,4.696749824336327,0.5900000000000001,142187.24153250176,120352.6414247422,951205.7039370605,8189970.282363477,0.018350558578194835,0.0,1347163.8646892975,1332238.5118009541,1.0112032138060376,5555555.555555556,52351169.790135026,81558.03812531038,True
18,331873.74881418946,41697.686798233975,18521.876298890773,0.06,1.0,2577498.3981572273,7.766502796219431,984504.403849118,1592993.9943081094,1448048.5985094246,1448048.5985094246,3.902729336412983,99562.12464425684,13.009097788043277,13.009097788043277,19.620208899154388,6.611111111111111,4.696062669746317,0.5900000000000001,152835.1830269338,124227.48212670293,1027524.2334414133,9217494.51580489,0.018476252701578346,0.0,1448048.5985094246,1430187.3966230524,1.0124887143660655,5555555.555555556,57768947.10672408,82116.67867368154,True
19,355814.17333900515,43852.849453667055,19912.424928851367,0.06,1.0,2762843.5541500133,7.7648496354800605,1054935.5221227887,1707908.0320272248,1552212.5802777293,1552212.5802777293,3.9019899979785606,106744.25200170155,13.006633326595203,13.006633326595203,19.617744437706314,6.611111111111112,4.695323331311894,0.5900000000000001,163829.23476992128,128244.40543106753,1106297.2808895977,10323791.796694487,0.01861316461326121,0.0,1552212.5802777293,1531515.9271187119,1.013513834751921,5555555.555555556,63333567.4598499,82725.17605893873,True
20,380552.2327262297,46086.9097875649,21348.850400340307,0.06,1.0,2954267.4831993575,7.763106425720712,1127616.766113455,1826650.7170859026,1659798.813308269,1659798.813308269,3.901210387173842,114165.66981786891,13.004034623912808,13.004034623912808,19.61514573502392,6.611111111111111,4.694543720507175,0.5900000000000001,175184.49013450416,132409.28830731724,1187632.4916229737,11511424.28831746,0.018759488834929137,0.0,1659798.813308269,1636334.9612381186,1.0143392719864621,5555555.555555556,69038617.10269427,83375.5059330184,True
21,406122.2321021383,48403.13333948239,22833.133963573782,0.06,1.0,3152034.766132061,7.761295779885637,1202648.0520417972,1949386.7140902637,1770956.054475057,1770956.054475057,3.9004006171223784,121836.66963064148,13.00133539040793,13.00133539040793,19.61244650151904,6.611111111111112,4.693733950455711,0.5900000000000001,186916.64975675894,136728.23989873184,1271641.8857555357,12783066.174072996,0.018913848603296125,0.0,1770956.054475057,1744765.4097256367,1.015010983484329,5555555.555555556,74879189.39368509,84061.54934798279,True
22,432559.81280208036,50804.91462607036,24367.333926128296,0.06,1.0,3356420.62397163,7.759437018037029,1280133.5225216446,2076287.1014499855,1885839.0221308134,1885839.0221308134,3.899569328281319,129767.9438406241,12.998564427604398,12.998564427604398,19.60967553871551,6.6111111111111125,4.692902661614653,0.5900000000000001,199042.04348071176,141207.6108529162,1358442.0104081999,14141508.184481196,0.019075192039488844,0.0,1885839.0221308134,1856937.6686641062,1.0155639868555735,5555555.555555556,80851686.32881463,84778.63128661709,True
23,459902.0063587823,53295.78232482672,25953.58876812482,0.06,1.0,3567711.3093243153,7.757546738208933,1360181.6788021605,2207529.6305221547,2004608.6177143732,2004608.6177143732,3.898723943742815,137970.60190763467,12.995746479142717,12.995746479142717,19.606857590253828,6.611111111111112,4.692057277076148,0.5900000000000001,211577.65374802845,145854.00302489445,1448154.1034123576,15589662.287893554,0.019242715544295883,0.0,2004608.6177143732,1972991.2299534152,1.016025103041996,5555555.555555556,86953644.2439232,85523.1801968706,True
24,488187.290642083,55879.404664827634,27594.120381526936,0.06,1.0,3786204.5219663074,7.7556392690734395,1442905.5268843088,2343298.9950819984,2127432.1604913534,2127432.1604913534,3.89787087167864,146456.1871926249,12.992902905595468,12.992902905595468,19.60401401670658,6.6111111111111125,4.6912042050119735,0.5900000000000001,224541.1403738635,150674.27956768384,1540904.2678384183,17130566.55573197,0.01941580658986617,0.0,2127432.1604913534,2093074.4231944624,1.016414962084556,5555555.555555556,93183581.86461924,86292.47373273855,True
